RowNumber,ItemSN,ItemName,Unit,NationalAMC
1,362,Acetazolamide - 250mg - Tablet,10x10,1680
2,31,Acetylsalicylic Acid - 81mg - Tablet( Enteric Coated),20x10,12774
3,56889,Actinomycin-D (Dactinomycin) - 0.5mg in Vial - Powder for injection,Each,550
4,173,Acyclovir - 200mg - Capsule,10x10,3866
5,306,Acyclovir - 3% - Eye Ointment,4.5 gm,2288
6,63314,Acyclovir - 500mg - Powder for Injection (Lyophilized),Each,652
7,56977,Adhesive Plaster Zinc Oxide - 7.5cm x 10m,Each,64059
8,1486,Adrenaline (Epinephrine) - 0.1% in 1ml Ampoule - Injection,10   ,8654
9,59774,ADVIA 560 - 5 Part Diff Consumable - ,1L,138
10,59775,"ADVIA 560 - 5 Part Tri-Level (L, N, H) Control - ",6x3ml,25
11,59748,ADVIA 560 - Calibrator - ,2X3ML,14
12,59747,ADVIA 560 - Diluent - ,20L,438
13,59750,ADVIA 560 - Hypoclean - ,100ml,76
14,59776,ADVIA 560 - Lyse - ,5L,204
15,63784,ADVIA 560 - Thermal Paper - ,Roll,0
16,196,Albendazole - 100mg/5ml - Oral Suspension,20ml,50814
17,455,Albendazole - 400mg - Tablet,10x10,7600
18,67293,Albuterol sulfate - 4mg - Tablet,10x10,0
19,57571,Alfacalcidol - 0.25mcg - Tablet,10x10,35
20,55343,All Trans Retinoic Acid (ATRA) - 10mg - Tablet,30,80
21,54958,Allopurinol - 100mg - Tablet,10x5,2264
22,54597,Alphacalcidiol - 0.5 mcg - Capsule,10x10,20
23,64381,Aluminium Hydroxide + Magnesium Hydroxide + Simethicon + Sodium Alginate - (125mg+250mg+50mg+100mg)/5ml - Suspension,200ml,162279
24,54732,Aminophyline - 250mg/10ml in 10ml Ampoule - Injection,5,3780
25,894,Amiodarone - 100mg - Tablet,10x3,350
26,74,Amitriptyline - 25mg - Tablet,10x10,14840
27,747,Amlodipine - 5mg - Tablet,10x10,15791
28,54334,Amoxicillin - 250mg/5ml - Oral Suspension,100ml,383840
29,118,Amoxicillin - 500mg - Capsule,50X10,65980
30,56825,Amoxicillin + Clavulanic Acid - (200mg + 28.5mg)/5ml - Oral Suspension,100ml,36570
31,938,Amoxicillin + Clavulanic Acid - (250mg + 62.5mg)/5ml - Oral Suspension,100ml,52452
32,56823,Amoxicillin + Clavulanic Acid - (500mg + 125mg) - Tablet,5x3,158005
33,55867,Ampicillin Sodium - 500mg in Vial - Injection,50,12873
34,56900,Anastrazole - 1mg - Tablet,30,850
35,57253,Anti-haemorrhoidal (Betamethasone Valerate + Phenylephrine HCl + Lidocaine HCl) - (0.5mg + 1mg + 25mg) - Ointment,20gm,26269
36,54860,Anti-haemorrhoidal (Hydrocortisone + Framycetin + Cinchocaine + Esculoside) - (5mg + 10mg + 5mg  10mg) - Suppository ,10   ,8806
37,55099,Anti-Rho (D) Immune Globulin - 300mcg in 2ml Vial - Injection,Each,3134
38,56202,Applicator Stick Wooden with Cotton Tip - 15cm x 2.2mm,100,0
39,2423,Applicator Wooden Stick - 15cm Long x diam. 2.5mm with Cotton,100,6274
40,56188,Applicator Wooden Stick with out Cotton Tip  - 15cm x 2.5mm,100,6765
41,55570,Apron Plastic Protection Against Most Chemicals - 80x120cm,Each,3490
42,55732,Arsenic Trioxide (ATO) - 1mg/1ml in 10ml Ampoule - Injection,Each,75
43,349,Atenolol - 50mg - Tablet,10x10,4409
44,64207,Atorvastatin - 40mg - Tablet,10x3,8128
45,50555,Atropine Sulphate - 1% eye drop,10ml,1280
46,55602,Atropine Sulphate - 1mg/ml in 1ml Ampoule - Injection,10x10,850
47,52081,Atrovastatin - 20mg - Tablet,10x10,12747
48,60856,Autoclave Indicator Tape - 1.9cmx5cm - ,Each,1745
49,54997,Azacitidine - 100mg in vial - Powder for Injection (Lyophilized),Each,75
50,53729,Azathioprine - 50mg - Tablet (Film Coated),10x5,110
51,51511,Azithromycin  - 500mg - Tablet,10x3,22135
52,52506,Azithromycine - 200mg/5ml - Oral Suspension,15ml,20103
53,56989,Bandage Elastic - 8cm x 5m,Each,30340
54,57356,Basiliximab - 20mg - Injection,Vial,8
55,54980,Beclometasone Dipropionate - 100mcg/dose - Aerosol (Oral Inhalation),200metered dose,14203
56,55243,Bendamustine Hydrochloride - 100mg in vial - Powder for Injection (Lyophilized),Each,231
57,1388,Benzhexol (Trihexyphenidyl HCL) - 2mg - Tablet,10x10,1061
58,1389,Benzhexol (Trihexyphenidyl HCL) - 5mg - Tablet,10x10,1042
59,1022,Betametasone Valarate - 0.1% - Cream,15gm,7262
60,1534,Betamethasone - 0.5mg - Tablet,10x10,169
61,64495,Betamethasone - 4mg/ml in 1ml Ampoule - Injection,5,410
62,63651,Betamethosone Diproprionate - 0.05% - Ointment,20gm,8468
63,5452,Bicalutamide - 50mg - Tablet,10x3,45
64,15,Bisacodyl - 5mg - Tablet,10x10,5335
65,54498,Bleomycine Sulphate - 15IU in Vial - Powder for Injection (Lyophillized),Each,470
66,57466,Blood Collecting  Bag CPDA1 Anticoagulant Quadruple - 450ml,Each,1485
67,57004,"Blood Collecting Bag  - Triple CPDAI Anticoagulant, 450ml - ",Each,229
68,57326,"Blood Collecting Bag, Single CPDA Anticoagulant - 350ml - ",Each,551
69,4710,Blood Transfusion Set  - ,Each,1341
70,54243,Bortezomib - 3.5mg in Vial - Powder for Injection (Lyophillized),Each,107
71,491,Bromazepam - 3mg - Tablet,10x10,325
72,1595,Bromocriptine Mesylate - 2.5mg - Tablet,10x3,193
73,1596,Bupivacaine  - 0.5% in 10ml ampoule - Injection,5,4876
74,862,Calcium Carbonate - 500mg - Tablet,10x10,170
75,235,Calcium Gluconate - 10% in 10ml ampoule - Injection,10   ,1584
76,55938,Cannula Intravenous Set - 16G ,100,638
77,54170,Cannula Intravenous Set - 18G ,100,5891
78,55816,Cannula Intravenous Set - 20G ,100,2700
79,54172,Cannula Intravenous Set - 22G,100,3453
80,54290,Cannula Intravenous Set - 24G,100,8348
81,54959,Capecitabine - 500mg - Tablet,10x3,1326
82,385,Captopril - 25mg - Tablet,10x10,844
83,54590,Carbamazepine - 100mg/5ml - Syrup,100ml,535
84,77,Carbamazepine - 200mg - Tablet,10x10,18898
85,1571,Carbimazole - 5mg - Tablet,10x10,312
86,67597,Carboplatin  - 450mg /45ml in Vial - Injection,Each,503
87,56419,Cat Gut Chromic - Gauge 2.0(4/0) 75cm on 15mm 1/2 Circle Reverse Cutting Needle,Dozen,1215
88,54581,Cat Gut Chromic - Gauge 2.0(4/0) 75cm on 15mm 1/2 Circle Round Bodied Needle,Dozen,1388
89,53945,Cat Gut Chromic - gauge 3.0 (3/0) 75cm on 25mm 1/2 circle round bodied needle,Dozen,0
90,56429,Cat Gut Chromic - Gauge 3.0(3/0) 75cm on 25mm 1/2 Circle Reverse Cutting Needle,Dozen,1383
91,59215,Cat Gut Chromic - Gauge 3.5(2/0) 75cm on 27mm ½  Circle Reverse Cutting Needle,Dozen,3283
92,54703,Cat Gut Chromic - Gauge 3.5(2/0) 75cm on 27mm 1/2 Circle Round Bodied Needle,Dozen,6000
93,56431,Cat Gut Chromic - Gauge 4.0(0) 75cm on 30mm 1/2 Circle Reverse Cutting Needle,Dozen,1020
94,54583,Cat Gut Chromic - Gauge 4.0(0) 75cm on 30mm 1/2 Circle Round Bodied Needle,Dozen,1366
95,56432,Cat Gut Chromic - Gauge 5.0(1) 75cm on 48mm 1/2 Circle Reverse Cutting Needle,Dozen,0
96,54949,Cat Gut Chromic - Gauge 5.0(1) 75cm on 48mm 1/2 Circle Round Bodied Needle,Dozen,1616
97,55463,Cat Gut Chromic - Gauge 6.0(2) 75cm on 35mm 1/2 Circle Round Bodied Needle,Dozen,2394
98,54694,Catheter Condom Latex Medium - 28mm,Each,1998
99,55069,Catheter Foley Silconized Latex Three Ways - 30-50ml Balloon 18CH,Each,39177
100,54303,Catheter Foley Silconized Latex Three Ways - 30-50ml Balloon 22CH,Each,5927
101,55071,Catheter Foley Silconized Latex Three Ways - 30-50ml Balloon 24CH,Each,6915
102,56546,Catheter Foley Silconized Latex Three Ways - 5-15ml Balloon 10CH,Each,1116
103,55068,Catheter Foley Silconized Latex Two Ways - 30-50ml Balloon 16CH,Each,23315
104,54302,Catheter Foley Silconized Latex Two Ways - 30-50ml Balloon 20CH,Each,4269
105,54308,Catheter Foley Silconized Latex Two Ways - 5-15ml Balloon 12CH,Each,1644
106,54938,Catheter Foley Silconized Latex Two Ways - 5-15ml Balloon 14CH,Each,5963
107,55569,Catheter Foley Silconized Latex Two Ways - 5-15ml Balloon 8CH,Each,1132
108,57290,"Catheter Nasal Oxygen, Adult - ",Each,8098
109,57291,"Catheter Nasal Oxygen, Paediatric - ",Each,3956
110,56585,Catheter Suction - 14CH,100,438
111,55189,Catheter Suction - 22CH,100,454
112,55697,Catheter Suction - 6CH,100,304
113,56586,Catheter Suction - 8CH,100,253
114,64479,Catheter Ureteral - 6CH,Each,156
115,64480,Catheter Ureteral - 8CH,Each,173
116,56844,Cefepime - 1gm in Vial - Powder for Injection with Diluent,Each,17568
117,63633,Cefixime - 400mg - Capsule,7x2,5325
118,55133,Ceftazidime - 1g in vial - Powder for Injection with Diluent,Each,62050
119,56837,Ceftriaxone - 0.5g in Vial - Powder for Injection with Diluent,Each,65350
120,56831,Ceftriaxone - 1g in vial - Powder for Injection with Diluent,Each,1175473
121,484,Cephalexine - 250 mg/5ml - Oral Suspension,100 ml,30491
122,397,Cephalexine - 500mg - Capsule,10x10,27934
123,59060,Cerclage Wire - 1.0 Diameter with 10m length,Each,76
124,59062,Cerclage Wire - 1.8 Diameter with 10m length,Each,48
125,253,Cetrizine - 10mg - Tablet,10x10,2839
126,57357,Chemical - Acetone Alcohol - 50% -  - Solution,500ml,654
127,57396,Chemical - Alcohol Denatured - 70% - ,1L,23327
128,55493,Chemical - Barium Chloride Hydrate -  - Powder,500gm,245
129,54863,Chemical - Barium Sulphate -  - Powder,175gm,155
130,54640,Chemical - Benzoic Acid - ,500gm,213
131,56943,Chemical - Buffer - PH 7.0 -  - Tablet,20,105
132,55142,Chemical - Dental X Ray Film 3cm x 4cm - ,150,51
133,56488,Chemical - Formalin - 37% - Solution,1 Litre,203
134,60967,Chemical - Gadolinium Chelate - 0.5mmol/ml Solution for Injection,15 ml,252
135,55842,Chemical - Gential Violet - 1% - Solution,500ml,2500
136,54712,Chemical - Giemsa Stain - 0.76%,500ml,2479
137,55298,Chemical - Glycerine Pure - 98% ,1L,1615
138,56106,Chemical - Gram's Iodine - 0.33% - Solution,500ml,959
139,57366,Chemical - Hydrochloric Acid Concentrated - 37%,500ml,435
140,57368,Chemical - Hydrogen Peroxide - 30% -  - Soluiton,1L,1284
141,57369,Chemical - Immersion Oil - Refractive Index of 1.515 - ,100ml,1509
142,56966,Chemical - Iodine Tincture - 2% - ,500ml,3622
143,66292,chemical - Low Osmolar iodinated contrast media - 350-370mg/ml of 50ml,50mlx10vials,486
144,57371,Chemical - Lugol's Iodine for Medical Use - 5% -  - Solution,500ml,254
145,57392,Chemical - Methanol Absolute Aceton Free - 99.00%,1L,798
146,57416,Chemical - Microscope Lens Cleaning Solution - ,100ml,850
147,56108,Chemical - Potassium Hydroxide - 10% - Solution,1L,170
148,56939,"Chemical - Safranine, 0.25% -  - Solution",500ml,654
149,54864,Chemical - Salicylic Acid -  - Powder,500gm,30
150,57387,Chemical - Trisodium  Citrate - 3.80% -  - Solution,500ml,711
151,55775,Chemical - Vioform Powder BP - ,500gm,5
152,56941,Chemical - White Blood Cells Diluting Fluid (Glacial Acitic Acid) - 2% -  - Solution,500ml,220
153,56942,Chemical - Wright Stain - 0.30% -  - Solution,500ml,400
154,1957,Chlorambucil - 2mg - Tablet,25,105
155,57527,Chloramphenicol - 0.50% - Eye Drop,10ml,25120
156,259,Chloramphenicol - 1% - Eye Ointment,5 gm,23636
157,65797,Chloramphenicol + Dexamethasone - (1% + 0.1%) - Eye Drop,10ml,10413
158,250,Chlorpheniramine Maleate - 2mg/5ml - Syrup,100ml,22598
159,429,Chlorpheniramine Maleate - 4mg - Tablet,10x10,7542
160,63,Chlorpromazine HCL - 100mg - Tablet,100x10,2103
161,62,Chlorpromazine HCL - 25mg - Tablet,1000,968
162,54470,Chlorpromazine Hydrochloride - 25mg/2ml in 2ml Ampoule - Injection,50,858
163,419,Cimetidine - 200mg/ml in 2ml ampoule - Injection,10   ,71423
164,55740,Ciprofloxacin - 0.30% - Eye/Ear drop,5ml,32787
165,56839,Ciprofloxacin - 2mg/ml in 100ml - Intravenous Infusion (as lactate),100ml,15389
166,143,Ciprofloxacin - 500mg - Tablet,10x10,113523
167,55865,Cisatracurium - 2mg/ml in 10 ml Ampoule - Injection,Each,433
168,56898,Cisplatin - 1mg/ml in 50ml - Intravenous Infusion,Each,2067
169,142,Clarithromycin - 500mg - Tablet,10x10,3722
170,1598,Clomiphene Citrate - 50mg - Tablet,10x3,1120
171,3830,Clomipramine HCL - 25mg - Tablet,25x10,254
172,87,Clonazepam - 0.5mg - Tablet,10x3,2388
173,493,Clonazepam - 2mg - Tablet,10x3,2465
174,708,Clopidogrel - 75mg  - Tablet,10x10,1022
175,272,Clotrimazole - 1% - Cream,20 gm,42650
176,223,Clotrimazole - 100mg - Tablet (Vaginal),6,11660
177,55855,Cloxacillin Sodium - 250mg/5ml - Oral Suspension,100ml,54041
178,123,Cloxacillin Sodium - 500 mg - Capsule,50X10,26302
179,1286,Clozapine - 100mg - Tablet,10x5,462
180,63696,Cobas 6000 - 9% NaCl Diluent - ,Each,0
181,59645,Cobas 6000 - 9% Sodium Chloride Solution - ,50ml,3
182,59576,Cobas 6000 - Acid Phosphatase - ,400tests,0
183,59635,Cobas 6000 - Acid Wash Solution - ,2x1800ml,1
184,63663,Cobas 6000 - Activator - ,Each,2
185,59594,Cobas 6000 - Adrenocorticotropic Hormone (ACTH) - ,100tests,5
186,59675,Cobas 6000 - Adrenocorticotropic hormone (ACTH) Calibrator - ,4x1ml,0
187,59545,Cobas 6000 - Alanine Aminotransferase - ALT (Serum Glutamic Pyruvic Transaminase - SGPT) - ,500tests,60
188,59566,Cobas 6000 - Albumin - ,225tests,14
189,59552,Cobas 6000 - Alfa Feto Protein (AFP) - ,100tests,17
190,59676,Cobas 6000 - Alfa Feto Protein (AFP) G2 Calibrator - ,4x1ml,1
191,59547,Cobas 6000 - Alkaline Phosphatase (ALP) - ,400tests,78
192,59606,Cobas 6000 - Alpha Amylase - ,300tests,6
193,59565,Cobas 6000 - Amylase-P - ,200tests,4
194,59546,Cobas 6000 - Aspartate Aminotransferase - AST (Serum Glutamic Oxaloacetic Transaminase - SGOT) - ,500tests,60
195,59637,Cobas 6000 - Assay Tip - ,4032,3
196,59605,Cobas 6000 - Bilirubin Direct (BILD) - ,350tests,41
197,59604,Cobas 6000 - Bilirubin Total (BILT) - ,250tests,57
198,59544,Cobas 6000 - Blood Sugar - ,200tests,59
199,59549,Cobas 6000 - Blood Urea Nitrogen - BUN (Urea) - ,500tests,49
200,59677,Cobas 6000 - C.f.a.s. PUC Calibrator - ,5x1ml,1
201,59570,Cobas 6000 - Calcium - ,300tests,26
202,59636,Cobas 6000 - CalSet Vial - ,112,0
203,59554,Cobas 6000 - Cancer Antigen 125 (CA-125) - ,100tests,3
204,59678,Cobas 6000 - Cancer Antigen 125 (CA-125) G2 Calibrator - ,4x1ml,1
205,59553,Cobas 6000 - Carcino Embryonic Antigen (CEA) - ,100tests,18
206,59679,Cobas 6000 - Carcino Embryonic Antigen (CEA) Calibrator - ,4x1ml,1
207,59660,Cobas 6000 - Cardiac G2 Control - ,4x2ml,0
208,63692,Cobas 6000 - Cell Wash Solution - ,2x1.8L,94
209,59680,Cobas 6000 - Cfas Calibrator - ,12x3ml,1
210,59681,Cobas 6000 - Cfas HbA1c Calibrator - ,3x2ml,1
211,59682,Cobas 6000 - Cfas Lipids Calibrator - ,3x1ml,1
212,63392,Cobas 6000 - Chloride Cartridge - ,100tests,4
213,59599,Cobas 6000 - Cholesterol - ,400tests,0
214,59638,Cobas 6000 - Clean Cell - ,2x2000ml,22
215,59684,Cobas 6000 - Cortisol Calibrator - ,4x1ml,1
216,59588,Cobas 6000 - Cortisone - ,100tests,6
217,59548,Cobas 6000 - Creatinine - ,700tests,38
218,59609,Cobas 6000 - Creatinine Kinase CK - ,200tests,7
219,59610,Cobas 6000 - Creatinine Kinase CK-MB - ,100tests,15
220,59683,Cobas 6000 - Creatinine Kinase CK-MB Calibrator - ,4x1ml,1
221,63664,Cobas 6000 - ECO Tergent - ,Each,0
222,59586,Cobas 6000 - Estradiol (E2) - ,100tests,28
223,59685,Cobas 6000 - Estradiol G3 Calibrator - ,4x1ml,1
224,59558,Cobas 6000 - Ferritin - ,100tests,15
225,59686,Cobas 6000 - Ferritin Calibrator - ,4x1ml,1
226,59559,Cobas 6000 - Folate - ,100tests,12
227,59687,Cobas 6000 - Folate G3 Calibrator - ,4x1ml,1
228,59584,Cobas 6000 - Follicle Stimulating Hormone (FSH) - ,100tests,30
229,59689,Cobas 6000 - Follicle Stimulating Hormone (FSH) Calibrator - ,4x1ml,1
230,59575,Cobas 6000 - Gamma-Glutamyl Transferase (GGT) - ,400tests,4
231,59641,Cobas 6000 - Haemolyse Reagent HBA1C - ,1000ml,0
232,64002,Cobas 6000 - Halogen Lamp - ,Each,4
233,59663,Cobas 6000 - HBA1c Normal Control - ,4x1ml,5
234,59664,Cobas 6000 - HBA1c Pathological Control - ,4x1ml,5
235,59642,Cobas 6000 - HbA1c TQ Haemolyzing Reagent - ,2x22.5ml,23
236,59607,Cobas 6000 - Hemoglobin A1c - ,150tests,49
237,59600,Cobas 6000 - High Density Lipoprotein Cholesterol Direct Colorimetric Test (HDL-C) - ,200tests,97
238,59555,Cobas 6000 - Human Chorionic Gonadotropin (HCG) - ,100tests,18
239,59692,Cobas 6000 - Human Chorionic Gonadotropin (HCG) Beta Calibrator - ,4x1ml,1
240,63665,Cobas 6000 - Internal Standard - ,Each,7
241,59573,Cobas 6000 - Iron - ,200tests,15
242,59693,Cobas 6000 - Iron (Fe) Standard Calibrator - ,75ml,1
243,59574,Cobas 6000 - Iron Binding Capacity Unsaturated (TIBC) - ,100tests,1
244,59643,Cobas 6000 - ISE Cleaning Solution - ,5x100ml,1
245,63666,Cobas 6000 - ISE Diluent - ,Each,13
246,63669,Cobas 6000 - ISE HIGH - ,10x3ml,14
247,63667,Cobas 6000 - ISE INT STANDARED - ,Each,25
248,63670,Cobas 6000 - ISE LOW - ,Each,14
249,63668,Cobas 6000 - ISE Reference Electrode - ,300ml,7
250,59567,Cobas 6000 - Lactate Dehydrogenase (LDH) - ,300tests,11
251,59611,Cobas 6000 - Lipase - ,200tests,8
252,59601,Cobas 6000 - Low Density Lipoprotein Cholesterol Direct Colorimetric Test (LDL-C) - ,200tests,97
253,59585,Cobas 6000 - Luteinizing Hormone (LH) - ,100tests,28
254,59694,Cobas 6000 - Luteinizing Hormone (LH) G2 Calibrator - ,4x1ml,1
255,59571,Cobas 6000 - Magnesium - ,250tests,23
256,59654,Cobas 6000 - Micro Sample Cup 13/16 - ,Each,0
257,59644,Cobas 6000 - Multi Pack - ,Each,0
258,59665,Cobas 6000 - Multimarker Control - ,6x2ml,1
259,59647,Cobas 6000 - PC/CC Cup - ,12,0
260,59572,Cobas 6000 - Phosphate - ,250tests,12
261,63391,Cobas 6000 - Potassium Cartridge - ,100tests,4
262,63671,Cobas 6000 - Precicontrol Multi 1 - ,Each,0
263,63672,Cobas 6000 - Precicontrol Multi 2 - ,Each,0
264,63673,Cobas 6000 - Precinorm PUC - ,Each,0
265,63674,Cobas 6000 - Precipath PUC - ,Each,0
266,59648,Cobas 6000 - PreClean - ,5x600ml,9
267,63907,Cobas 6000 - Pro Cell - ,2x2000ml,29
268,59652,Cobas 6000 - Probe Cell - ,2x2000ml,0
269,59649,Cobas 6000 - Probe ISE - ,Each,0
270,59650,Cobas 6000 - Probe Sample - ,Each,0
271,59651,Cobas 6000 - Probe Wash - ,12x70ml,1
272,59587,Cobas 6000 - Progesterone - ,100tests,1
273,59695,Cobas 6000 - Progesterone  G3 Calibrator - ,4x1ml,1
274,59583,Cobas 6000 - Prolactin (PRL) - ,100tests,28
275,59696,Cobas 6000 - Prolactin G2 Calibrator - ,4x1ml,1
276,59557,"Cobas 6000 - Prostate Specific Antigen, Free (PSA-F) - ",100tests,8
277,59556,"Cobas 6000 - Prostate Specific Antigen, Total (PSA-T) - ",100tests,10
278,59688,Cobas 6000 - Prostatic Specific Antigen-Free (PSA-F) Calibrator - ,4x1ml,8
279,59700,Cobas 6000 - Prostatic Specific Antigen-Total (PSA-T) G2 Calibrator - ,4x1ml,1
280,59669,Cobas 6000 - PUC Normal Control - ,4x3ml,6
281,59670,Cobas 6000 - PUC Pathological Control - ,4x3ml,6
282,64001,Cobas 6000 - Reaction Cell set - ,3,3
283,63385,Cobas 6000 - Reference Electrode - ,Each,1
284,59653,Cobas 6000 - Sample Cleaner 1 - ,12x59ml,1
285,59639,Cobas 6000 - Sample Cup - ,5000,6
286,59655,Cobas 6000 - Sipper Nozzle - ,Each,1
287,59656,Cobas 6000 - Sipper Tube - ,Each,2
288,59659,Cobas 6000 - SMS - ,Each,31
289,63390,Cobas 6000 - Sodium Cartridge - ,100tests,4
290,59646,Cobas 6000 - Sodium Hydroxide Solution NaOH-D - ,50ml,53
291,59569,Cobas 6000 - Sodium/Potassium/Chloride - ,100tests,0
292,59582,Cobas 6000 - Testosterone - ,100tests,23
293,59699,Cobas 6000 - Testosterone G2 Calibrator - ,4x1ml,1
294,59579,Cobas 6000 - Thyroid Stimulating Hormone (TSH) - ,200tests,55
295,59702,Cobas 6000 - Thyroid Stimulating Hormone (TSH) Calibrator - ,4x1ml,1
296,59578,Cobas 6000 - Thyroxine (T4) - ,200tests,43
297,59698,Cobas 6000 - Thyroxine (T4) G2 Calibrator - ,4x1ml,1
298,59581,"Cobas 6000 - Thyroxine, Free (T4-F) - ",200tests,43
299,59691,Cobas 6000 - Thyroxine-Free (T4-F) G2 Calibrator - ,4x1ml,1
300,59666,Cobas 6000 - TM Control - ,4x3ml,9
301,59551,Cobas 6000 - Total Protein - ,300tests,12
302,59568,Cobas 6000 - Total Protein (TP) Urine CSF - ,150tests,13
303,59603,Cobas 6000 - Triglycerides - ,250tests,80
304,59577,Cobas 6000 - Triiodothyronine (T3) - ,200tests,43
305,59697,Cobas 6000 - Triiodothyronine (T3) G3 Calibrator - ,4x1ml,1
306,59580,"Cobas 6000 - Triiodothyronine, Free (T3-F) - ",200tests,43
307,59690,Cobas 6000 - Triiodothyronine-Free (T3-F) G3 Calibrator - ,4x1ml,1
308,59560,Cobas 6000 - Troponin - ,100tests,15
309,59701,Cobas 6000 - Troponin Calibrator - ,4x1ml,1
310,59671,Cobas 6000 - Troponin PC Control - ,4x2ml,8
311,59667,Cobas 6000 - Universal Control - ,4x3ml,11
312,59658,Cobas 6000 - Universal Diluent - ,2x16ml,3
313,59550,Cobas 6000 - Uric Acid - ,400tests,25
314,59668,Cobas 6000 - Varia Control - ,4x3ml,4
315,59597,Cobas 6000 - Vitamin B12 - ,100tests,11
316,59703,Cobas 6000 - Vitamin B12 G2 Calibrator - ,4x1ml,1
317,63680,Cobas C 311  - ISE Reference Electrode - ,300ml,108
318,63695,Cobas C 311 - 9% NaCl Diluent - ,Each,76
319,59622,Cobas C 311 - Acid Wash Solution - ,2x1800ml,56
320,63675,Cobas C 311 - Activator - ,Each,47
321,59504,Cobas C 311 - Alanine Aminotransferase ALT (Serum Glutamic Pyruvic Transaminase - SGPT) - ,500tests,200
322,59528,Cobas C 311 - Albumin - ,225tests,119
323,59506,Cobas C 311 - Alkaline Phosphatase (ALP) - ,200tests,298
324,59519,Cobas C 311 - Alpha Amylase - ,300tests,52
325,59526,Cobas C 311 - Amylase-P - ,200tests,72
326,59505,Cobas C 311 - Aspartate Aminotransferase AST (Serum Glutamic Oxaloacetic Transaminase- SGOT) - ,500tests,212
327,59518,Cobas C 311 - Bilirubin Direct (BILD) - ,350tests,196
328,59517,Cobas C 311 - Bilirubin Total (BILT) - ,250tests,233
329,59503,Cobas C 311 - Blood sugar - ,800tests,121
330,59510,Cobas C 311 - Blood Urea Nitrogen-BUN (Urea) - ,500tests,229
331,59674,Cobas C 311 - C.f.a.s. PUC Calibrator - ,5x1ml,1
332,59543,Cobas C 311 - Calcium - ,300tests,129
333,59634,Cobas C 311 - Cell Set - ,Each,17
334,59623,Cobas C 311 - Cell Wash Solution - ,2x1800ml,94
335,59673,Cobas C 311 - Cfas Calibrator - ,12x3ml,30
336,63779,Cobas C 311 - Cfas Control - ,12x3ml,0
337,63389,Cobas C 311 - Chloride Cartridge - ,100tests,50
338,59513,Cobas C 311 - Cholesterol - ,400tests,145
339,59619,Cobas C 311 - CK-MB Calibrator - ,3x1ml,16
340,59509,Cobas C 311 - Creatinine - ,700tests,243
341,59521,Cobas C 311 - Creatinine Kinase CK - ,200tests,33
342,59523,Cobas C 311 - Creatinine Kinase CK-MB - ,100tests,108
343,63676,Cobas C 311 - ECO Tergent - ,Each,832
344,59625,Cobas C 311 - Haemolyse Reagent HBA1c - ,1000ml,15
345,59626,Cobas C 311 - Halogen Lamp 12V/50W - ,Each,29
346,59620,Cobas C 311 - HBA1c Calibrator - ,3x2ml,23
347,59615,Cobas C 311 - HBA1c Normal Control - ,4x1ml,43
348,59616,Cobas C 311 - HBA1c Pathological Control - ,4x1ml,42
349,59631,Cobas C 311 - HBA1C TQ Haemolyzing Reagent - ,2x22.5ml,23
350,59520,Cobas C 311 - Hemoglobin A1c - ,150tests,91
351,59514,Cobas C 311 - High Density Lipoprotein Cholesterol Direct Colorimetric Test (HDL-C) - ,350tests,134
352,63677,Cobas C 311 - Internal Standard - ,Each,139
353,63688,Cobas C 311 - ISE Cleaning Solution - ,Each,75
354,63678,Cobas C 311 - ISE Diluent - ,Each,123
355,63681,Cobas C 311 - ISE HIGH - ,Each,304
356,63679,Cobas C 311 - ISE INT STANDARED - ,Each,65
357,63682,Cobas C 311 - ISE LOW - ,10x3ml,215
358,63800,Cobas C 311 - ISE Reference Electrolyte - ,5x300ml,108
359,59530,Cobas C 311 - Lactate Dehydrogenase (LDH) - ,300tests,77
360,59525,Cobas C 311 - Lipase - ,200tests,51
361,59621,Cobas C 311 - Lipid Calibrator - ,3x1ml,24
362,59516,Cobas C 311 - Low Density Lipoprotein Cholesterol Direct Colorimetric Test (LDL-C) - ,200tests,142
363,59541,Cobas C 311 - Magnesium - ,250tests,81
364,59627,Cobas C 311 - Micro Sample Cup 13/16 - ,Each,0
365,59542,Cobas C 311 - Phosphate - ,300tests,72
366,63388,Cobas C 311 - Potassium Cartridge - ,100tests,59
367,63684,Cobas C 311 - Precicontrol Multi 1 - ,Each,0
368,63685,Cobas C 311 - Precicontrol Multi 2 - ,Each,0
369,63686,Cobas C 311 - Precinorm PUC - ,Each,0
370,59617,Cobas C 311 - PUC Normal Control - ,4x3ml,31
371,59618,Cobas C 311 - PUC Pathological Control - ,4x3ml,32
372,63384,Cobas C 311 - Reference Electrode - ,Each,44
373,59624,Cobas C 311 - Sample  Cup - ,5000,28
374,59628,Cobas C 311 - Sipper Nozzle - ,Each,21
375,59629,Cobas C 311 - Sipper Tube - ,Each,25
376,59672,Cobas C 311 - SMS - ,Each,147
377,63387,Cobas C 311 - Sodium Cartridge - ,100tests,60
378,59632,Cobas C 311 - Sodium Hydroxide Solution NaOH-D - ,50ml,201
379,59540,Cobas C 311 - Sodium/Potassium/Chloride - ,100tests,0
380,63788,Cobas C 311 - Special Cell Cleaning Solution - ,2x1.8L,49
381,59512,Cobas C 311 - Total Protein - ,300tests,94
