label,PO No,PO Type,Invoice No,Tender No,1,2,3,4,5,6,7,8,Days Consumed,Days Remaining,Days Saved
,007707,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21( Scale - Digital W,-78,-834,,,,,,,928,-802,-912
,007708,FCA,," ICB/EPSA6/RDF-Routine/MI/21/21(For Somali RHB, Sp",-926,,,,,,,,927,-801,-926
,007710,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(For ORHB Qty 8 & fo,-77,-835,,-719,,,,,1702,-1576,-1631
,007719,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 007,-926,,,,,,,,927,-801,-926
,007695,FOB,,ICB/EPSA6/RDF_Routine/MD/10/22([Monitor pationt 50,-26,-73,-798,-730,,,,,1713,-1587,-1627
,007697,FOB,SKPFL23064,"ICB/EPSA6/RDF_Routine/MD/10/22(For ORHB, Split fro",-26,-74,-797,-730,,,,,1713,-1587,-1627
,007723,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(Split from 007137),-926,,,,,,,,927,-801,-926
,007700,FOB,,ICB/EPSA6/RDF_Routine/MI/21/21 (Split from 7137(OR,-926,,,,,,,,927,-801,-926
,007727,FOB,,PFSA6/R-T-2/RDF/MI/04/18(Split from 004764),-926,,,,,,,,927,-801,-926
,007713,FOB,,ICB/EPSA6/RDF_Routine/MD/10/22(Split from 007399),-25,-886,,,,,,,927,-801,-911
,007714,FOB,,ICB/EPSA6/RDF_Routine/MD/10/22(Split from PO: 0074,-925,,,,,,,,926,-800,-925
,007773,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (splitted from Po No 0075,-35,-876,,,,,,,927,-801,-911
,007703,FOB,,PFSA6/R-T-2/RDF/MI/04/18 ( ORHB Split from Po. 004,-98,-34,-764,-698,,,,,1680,-1554,-1594
,007724,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 007,-106,-804,,,,,,,926,-800,-910
,007701,FOB,," ICB/EPSA6/RDF-Routine/MI/21/21(For Somali RHB, Sp",-106,-50,-740,,,,,,927,-801,-896
,007725,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 007,-103,-808,,,,,,,927,-801,-911
,007702,FOB,," ICB/EPSA6/RDF-Routine/MI/21/21(For Somali RHB, Sp",-103,-808,,-720,,,,,1702,-1576,-1631
,007756,FOB,,ICB/EPSS6/RDF-R/MS/15/23,-20,-889,,,,,,,925,-799,-909
,007721,FOB,,ICB/EPSA6/RDF_Routine/MI/21/21(Split from 007062),-924,,,,,,,,925,-799,-924
,007698,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(Split from 7062(ORH,-54,-93,-749,-698,,,,,1680,-1554,-1594
,Invoice-135038942/3,FCA,,Invoice-135038942/3,-923,,,,,,,,924,-798,-923
,007769,FOB,AY-EPSS2401,ICB/EPSS6/RDF-R/MS/15/23,-15,-70,-805,-738,,,,,1714,-1588,-1628
,007759,FOB,,ICB/EPSS6/RDF-R/MS/15/23,-15,-889,,,,,,,920,-794,-904
,007760,FOB,, ICB/EPSS6/RDF-R/MS/15/23,-15,-889,,,,,,,920,-794,-904
,Non Standard 23240191,FOB,23-AC1926,Non Standard 23240191,-913,,,,,,,,914,-788,-913
,007776,FOB,,call off from ICB/FW/PSA6/SDG/BLOOD BAG/MS/11/20 ,-20,-876,,,,,,,912,-786,-896
,007792,FOB,,ICB/EPSS6/GF&MOF/MS/LR/22/23,-47,-44,-790,,,,,,912,-786,-881
,007799,FCA,,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-12,-190,-673,,,,,,906,-780,-875
,007800,FCA,,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23 ,-28,-42,-805,,,,,,906,-780,-875
,007793,FOB,,ICB/EPSS6/GF&MOF/MS/LR/22/23,-14,-96,-765,,,,,,906,-780,-875
,007803,FCA,,EPSS6/DT/MOH-GF/Malaria/PH/02/23,-899,,,,,,,,900,-774,-899
,007791,FCA,,ICB/EPSS6/GF&MOF/MS/LR/22/23,-39,-843,,,,,,,898,-772,-882
,007807,Cost and Freight,,Call off; ICB/PFSA6/SDG/PLACEMENT/LR/32/19,-15,-2,-839,-781,,,,,1723,-1597,-1637
,007810,FOB,,ICB/EPSA6/RDF-R/PH/13/22 ( splitted from PO No:753,-70,-54,-726,-657,,,,,1593,-1467,-1507
,007812,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23,-77,-1,-772,-704,,,,,1640,-1514,-1554
,007814,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23,-879,,-714,,,,,,1609,-1483,-1593
,007815,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23,-135,1,-715,,,,,,880,-754,-849
,007816,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23,-135,-729,,,,,,,880,-754,-864
,007820,FOB,,ICB/EPSS6/RDF-R/PH/17/23,-59,-30,-760,-689,,,,,1624,-1498,-1538
,007822,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-77,-23,-749,-696,,,,,1631,-1505,-1545
,007823,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-77,-786,,,,,,,879,-753,-863
,007824,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-35,-1,-813,-701,,,,,1636,-1510,-1550
,007825,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-44,-19,-786,-698,,,,,1633,-1507,-1547
,007826,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-44,-820,,,,,,,880,-754,-864
,007827,FOB,,ICB/EPSS6/RDF-R/PH/17/23,-44,-820,,-698,,,,,1633,-1507,-1562
,007830,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23,-877,,,,,,,,878,-752,-877
,007831,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-28,-835,,,,,,,879,-753,-863
,007833,FCA,,ICB/EPSS6/RDF/MD/ORHB/16/23,-877,,-690,,,,,,1583,-1457,-1567
,007834,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-28,-72,-749,-698,,,,,1633,-1507,-1547
,007835,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-33,-81,-734,,,,,,879,-753,-848
,007836,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-28,-72,-749,-698,,,,,1633,-1507,-1547
,007837,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-28,-835,,,,,,,879,-753,-863
,007839,FCA,,ICB/EPSS6/RDF-R/PH/17/23,-37,-826,,,,,,,879,-753,-863
,007840,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23,-70,1,-780,-702,,,,,1637,-1511,-1551
,007843,FCA,,ICB/EPSA6/RDF-R/13/22 (split from PO No:7557),-75,-2,-771,-704,,,,,1638,-1512,-1552
,007845,FCA,,ICB/EPSA6/RDF-R/13/22 (refill from PO No:7560),-877,,,,,,,,878,-752,-877
,007817,FCA,,EPSA6/RT2/FW/MOH-GF-TB-Kit/PH/01/21,-877,,,,,,,,878,-752,-877
,007818,FCA,,EPSA6/RT2/FW/MOH-GF-TB-Kit/PH/01/21,-12,-145,-690,,,,,,878,-752,-847
,007848,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23,-63,1,-780,-702,,,,,1630,-1504,-1544
,007851,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23,-133,-723,,,,,,,872,-746,-856
,007813,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23,-868,,-799,,,,,,1683,-1557,-1667
,007853,FOB,,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO No; 7504),-28,-18,-787,-724,,,,,1643,-1517,-1557
,007854,FOB,,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO No; 7530),-28,-18,-787,-725,,,,,1644,-1518,-1558
,007855,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO No; 7554),-40,-7,-787,-725,,,,,1645,-1519,-1559
,007856,FCA,,ICB/EPSA6/RDF-R/PH/13/22 (refill from PO No; 7383),-62,37,-808,-717,,,,,1636,-1510,-1550
