label,PO No,PO Type,Invoice No,Tender No,1,2,3,4,5,6,7,8,Days Consumed,Days Remaining,Days Saved
,008235,FCA,,Call off  ICB/PFSA6/RDF/FW/PLACEMENT/LR/20/18,-725,,-675,,,,,,1416,-1290,-1400
,008237,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23( Refill from 007840),-724,,,,,,,,725,-599,-724
,008238,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23(Refill From 7811),-11,-699,,,,,,,726,-600,-710
,008229,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21 (Split from PO: 00,-30,-680,,,,,,,726,-600,-710
,008230,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21 (For SRHB split fr,-30,-680,,,,,,,726,-600,-710
,008241,FOB,,ICB/EPSA6/MOH-SDG/FH/PH/15/22 (Refill from PO 0074,-23,3,-675,,,,,,726,-600,-695
,008255,FOB,,ICB/EPSA6/RDF-R/PH/13/23,-722,,,,,,,,723,-597,-722
,008242,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23",-718,,,,,,,,719,-593,-718
,008248,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23",-718,,,,,,,,719,-593,-718
,008250,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Somali ",-718,,,,,,,,719,-593,-718
,008254,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Somali ",-717,,,,,,,,718,-592,-717
,008256,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23",-717,,,,,,,,718,-592,-717
,008259,FOB,,ICB/EPSA6/MOH-WB-BUFFET/FH/PH/07/23(refill from PO,-15,4,-675,,,,,,717,-591,-686
,008244,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Spanish",-714,,,,,,,,715,-589,-714
,008247,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Somali ",-714,,,,,,,,715,-589,-714
,008249,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Somali ",-714,,,,,,,,715,-589,-714
,008260,FOB,,ICB/EPSS6/RDF-R2016/MS/LS/12/23,-712,,,,,,,,713,-587,-712
,008243,FCA,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Somali ",-711,,,,,,,,712,-586,-711
,008245,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Somali ",-711,,,,,,,,712,-586,-711
,008246,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Somali ",-711,,,,,,,,712,-586,-711
,008257,FOB,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-710,,,,,,,,711,-585,-710
,008258,FOB,,ICB/EPSS6/MOH-BMGF-BUFFET-Capital -SDG/FH/ &Others,-710,,,,,,,,711,-585,-710
,008261,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Somali ",-709,,,,,,,,710,-584,-709
,008262,FOB,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Somali ",-709,,,,,,,,710,-584,-709
,008263,FCA,,"ICB/EPSS6/Routine, SRHB & SG/MD/26/23 (For Somali ",-709,,,,,,,,710,-584,-709
,008264,FOB,,PFSA6/R-T-2/RDF/MI/04/18(Split from 004764)(Split ,-708,,,,,,,,709,-583,-708
,008265,FOB,,PFSA6/R-T-2/RDF/MI/04/18(Split from 004764)(Split ,-708,,,,,,,,709,-583,-708
,008266,FOB,,PFSA6/R-T-2/RDF/MI/04/18(Split from 004764)(Split ,-708,,,,,,,,709,-583,-708
,008267,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21 (Split from PO: 00,-708,,,,,,,,709,-583,-708
,008268,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21 (Split from PO: 00,-708,,,,,,,,709,-583,-708
,008269,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 0077,-708,,,,,,,,709,-583,-708
,008270,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 0077,-708,,,,,,,,709,-583,-708
,008271,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 0077,-708,,,,,,,,709,-583,-708
,008272,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 0077,-708,,,,,,,,709,-583,-708
,008273,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 0077,-708,,,,,,,,709,-583,-708
,008274,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 007,-708,,,,,,,,709,-583,-708
,008275,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 007,-708,,,,,,,,709,-583,-708
,008276,FOB,,ICB/PSA6/COVID-19/MOH/MI/08/20(Split from: 006223 ,-708,,,,,,,,709,-583,-708
,008277,FOB,,ICB/PSA6/COVID-19/MOH/MI/08/20(Split from: 006223 ,-708,,,,,,,,709,-583,-708
,008278,FOB,,ICB/PSA6/COVID-19/MOH/MI/08/20(Split from: 006223),-708,,,,,,,,709,-583,-708
,008279,FOB,,ICB/EPSA6/RDF_Routine/MD/10/22(Split from 007713 f,-708,,,,,,,,709,-583,-708
,008280,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 0081,-708,,,,,,,,709,-583,-708
,008281,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21(Split from PO: 007,-708,,,,,,,,709,-583,-708
,008282,FOB,, ICB/EPSA6/RDF-Routine/MI/21/21 (Split from 007907,-708,,,,,,,,709,-583,-708
,008283,FOB,,ICB/EPSA6/RDF-Routine/MI/21/21( Split from PO:0079,-708,,,,,,,,709,-583,-708
,008233,FCA,,Call off  ICB/PFSA6/RDF/FW/PLACEMENT/LR/20/18,-708,,,,,,,,709,-583,-708
,008236,FCA,,Call off  ICB/PFSA6/RDF/FW/PLACEMENT/LR/20/18,-708,,,,,,,,709,-583,-708
,008284,FOB,,ICB/PFSA6/RDF-R/NC/MI/04/18( Split from 004783 for,-708,,,,,,,,709,-583,-708
,008285,FOB,,ICB/PFSA6/RDF-R/NC/MI/04/18( Split from 004783 ),-708,,,,,,,,709,-583,-708
,008227,FOB,,Call off  ICB/PFSA6/RDF/FW/PLACEMENT/LR/20/18,-707,,,,,,,,708,-582,-707
,008286,FOB,,ICB/EPSA6/MOH-SDG-MOFED/FH/PH/15/22 (Refil from po,-10,-683,,,,,,,709,-583,-693
,008287,FOB,,ICB/EPSA6/MOH-SDG-STI/MOFED/BUFFET/R4D/PH/04/22 (R,-17,-675,,,,,,,708,-582,-692
,007953,FCA,,Call off from ICB/PSA6/SDG/PLACEMENT/LR/32/19(Spli,-18,-671,,,,,,,705,-579,-689
,008303,FCA,,Call off from ICB/PSA6/SDG/PLACEMENT/LR/32/19(Spli,-18,-671,,,,,,,705,-579,-689
,008288,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008289,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008290,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008291,FCA,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008292,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008293,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008294,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008295,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008296,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008297,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008298,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008299,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008300,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008301,FOB,,ICB/EPSS6/MOH-SDG/MD/29/23( For ORHB),-702,,,,,,,,703,-577,-702
,008302,FCA,,Call off from ICB/PSA6/SDG/PLACEMENT/LR/32/19 spli,-694,,,,,,,,695,-569,-694
,1,FOB,,ICB/EPSS6/RDF/MD/ORHB/16/23 (PO Splitted from PO:0,-674,,,,,,,,675,-549,-674
Total,,,,,,,,,,,,,492496,-426346,
